Geneid	final_project/original_files/tophat_mapping_hits_results.sam
Zm00001d027565	0
Zm00001d027566	0
Zm00001d027567	0
Zm00001d027568	0
Zm00001d027569	0
Zm00001d027570	0
Zm00001d027571	1
Zm00001d027572	0
Zm00001d027573	1
Zm00001d027576	0
Zm00001d027577	0
Zm00001d027578	0
Zm00001d027580	0
Zm00001d027581	0
Zm00001d027582	0
Zm00001d027583	0
Zm00001d027585	0
Zm00001d027587	0
Zm00001d027588	0
Zm00001d027589	0
Zm00001d027590	0
Zm00001d027591	0
Zm00001d027592	0
Zm00001d027593	0
Zm00001d027595	0
Zm00001d027596	0
Zm00001d027597	0
Zm00001d027598	0
Zm00001d027599	0
Zm00001d027601	0
Zm00001d027603	0
Zm00001d027604	0
Zm00001d027605	0
Zm00001d027606	0
Zm00001d027607	0
Zm00001d027608	0
Zm00001d027609	0
Zm00001d027610	0
Zm00001d027611	0
Zm00001d027612	1
Zm00001d027613	0
Zm00001d027615	0
Zm00001d027616	0
Zm00001d027618	0
Zm00001d027619	0
Zm00001d027620	0
Zm00001d027621	0
Zm00001d027622	0
Zm00001d027623	0
Zm00001d027624	0
Zm00001d027625	0
Zm00001d027626	0
Zm00001d027627	0
Zm00001d027628	0
Zm00001d027630	0
Zm00001d027631	1
Zm00001d027633	0
Zm00001d027634	0
Zm00001d027636	0
Zm00001d027637	0
Zm00001d027638	0
Zm00001d027639	0
Zm00001d027640	0
Zm00001d027641	0
Zm00001d027642	0
Zm00001d027643	0
Zm00001d027645	0
Zm00001d027646	0
Zm00001d027647	0
Zm00001d027648	0
Zm00001d027649	4
Zm00001d027650	0
Zm00001d027651	0
Zm00001d027652	0
Zm00001d027655	0
Zm00001d027656	1
Zm00001d027657	0
Zm00001d027658	0
Zm00001d027659	2
Zm00001d027662	13
Zm00001d027665	1
Zm00001d027666	0
Zm00001d027667	3
Zm00001d027668	0
Zm00001d027669	0
Zm00001d027671	1
Zm00001d027672	1
Zm00001d027673	0
Zm00001d027674	0
Zm00001d027675	0
Zm00001d027676	0
Zm00001d027677	0
Zm00001d027678	0
Zm00001d027679	0
Zm00001d027680	0
Zm00001d027681	0
Zm00001d027682	0
Zm00001d027683	0
Zm00001d027684	0
Zm00001d027685	0
Zm00001d027686	0
Zm00001d027687	0
Zm00001d027688	1
Zm00001d027690	0
Zm00001d027691	0
Zm00001d027694	2
Zm00001d027695	0
Zm00001d027696	0
Zm00001d027697	0
Zm00001d027698	0
Zm00001d027699	10
Zm00001d027700	0
Zm00001d027701	1
Zm00001d027702	0
Zm00001d027703	0
Zm00001d027705	0
Zm00001d027706	3
Zm00001d027707	1
Zm00001d027708	0
Zm00001d027709	0
Zm00001d027710	0
Zm00001d027711	0
Zm00001d027713	1
Zm00001d027714	1
Zm00001d027715	0
Zm00001d027717	0
Zm00001d027718	0
Zm00001d027719	0
Zm00001d027720	0
Zm00001d027721	0
Zm00001d027722	0
Zm00001d027723	2
Zm00001d027725	0
Zm00001d027726	0
Zm00001d027727	1
Zm00001d027728	0
Zm00001d027729	0
Zm00001d027730	0
Zm00001d027731	8
Zm00001d027732	0
Zm00001d027733	0
Zm00001d027734	1
Zm00001d027735	0
Zm00001d027736	0
Zm00001d027737	0
Zm00001d027738	0
Zm00001d027739	0
Zm00001d027740	0
Zm00001d027741	0
Zm00001d027742	0
Zm00001d027743	0
Zm00001d027744	0
Zm00001d027745	0
Zm00001d027746	0
Zm00001d027747	0
Zm00001d027748	1
Zm00001d027749	3
Zm00001d027751	0
Zm00001d027752	0
Zm00001d027753	0
Zm00001d027754	0
Zm00001d027755	0
Zm00001d027756	2
Zm00001d027757	0
Zm00001d027758	0
zma-MIR167j	6
Zm00001d027759	0
Zm00001d027760	0
Zm00001d027761	0
Zm00001d027762	0
Zm00001d027763	2
Zm00001d027764	0
Zm00001d027766	0
Zm00001d027767	0
Zm00001d027768	4
Zm00001d027769	2
Zm00001d027771	0
Zm00001d027772	0
Zm00001d027773	4
Zm00001d027775	0
Zm00001d027784	0
Zm00001d027787	0
Zm00001d027788	0
Zm00001d027789	1
Zm00001d027790	0
Zm00001d027791	0
Zm00001d027792	0
Zm00001d027794	0
Zm00001d027795	0
Zm00001d027797	0
Zm00001d027798	0
Zm00001d027799	1
Zm00001d027800	0
Zm00001d027801	1
Zm00001d027802	0
Zm00001d027803	0
Zm00001d027804	0
Zm00001d027805	0
Zm00001d027807	1
Zm00001d027808	0
Zm00001d027809	1
Zm00001d027810	0
Zm00001d027811	0
Zm00001d027812	0
Zm00001d027813	8
Zm00001d027815	0
Zm00001d027816	0
Zm00001d027819	0
Zm00001d027820	0
Zm00001d027821	0
Zm00001d027823	0
Zm00001d027824	0
Zm00001d027826	0
Zm00001d027827	0
Zm00001d027829	0
Zm00001d027830	3
Zm00001d027831	0
Zm00001d027832	0
Zm00001d027833	0
Zm00001d027834	0
Zm00001d027835	0
Zm00001d027837	0
Zm00001d027838	0
Zm00001d027839	0
Zm00001d027840	0
Zm00001d027841	5
Zm00001d027842	0
Zm00001d027843	0
Zm00001d027844	0
Zm00001d027845	0
Zm00001d027846	5
Zm00001d027847	0
Zm00001d027848	0
Zm00001d027849	0
Zm00001d027850	2
Zm00001d027851	1
Zm00001d027852	0
Zm00001d027853	0
Zm00001d027854	7
Zm00001d027855	0
Zm00001d027856	1
Zm00001d027857	0
Zm00001d027858	0
Zm00001d027859	0
Zm00001d027860	0
Zm00001d027861	1
Zm00001d027862	0
Zm00001d027863	0
Zm00001d027864	0
Zm00001d027866	0
Zm00001d027867	0
Zm00001d027868	0
Zm00001d027869	1
Zm00001d027870	0
Zm00001d027871	1
Zm00001d027872	0
Zm00001d027873	0
Zm00001d027874	0
Zm00001d027875	0
Zm00001d027876	1
Zm00001d027877	0
Zm00001d027878	0
Zm00001d027879	1
Zm00001d027880	0
Zm00001d027881	0
Zm00001d027882	0
Zm00001d027883	0
Zm00001d027884	4
Zm00001d027885	0
Zm00001d027886	0
Zm00001d027887	0
Zm00001d027888	0
Zm00001d027889	0
Zm00001d027890	0
Zm00001d027892	0
Zm00001d027893	0
Zm00001d027894	0
Zm00001d027895	1
Zm00001d027896	0
Zm00001d027897	0
Zm00001d027898	0
Zm00001d027899	0
Zm00001d027900	0
Zm00001d027901	0
Zm00001d027902	0
Zm00001d027903	0
Zm00001d027904	0
Zm00001d027907	1
Zm00001d027908	0
Zm00001d027909	0
Zm00001d027910	0
Zm00001d027911	0
Zm00001d027912	0
Zm00001d027914	0
Zm00001d027915	0
Zm00001d027916	1
Zm00001d027918	0
Zm00001d027919	0
Zm00001d027920	0
Zm00001d027921	1
Zm00001d027922	0
Zm00001d027924	1
Zm00001d027925	0
Zm00001d027927	0
Zm00001d027928	0
Zm00001d027929	1
Zm00001d027930	0
Zm00001d027931	0
Zm00001d027932	0
Zm00001d027933	0
Zm00001d027934	0
Zm00001d027935	0
Zm00001d027936	0
Zm00001d027937	0
Zm00001d027938	0
Zm00001d027939	1
Zm00001d027940	0
Zm00001d027941	0
Zm00001d027943	0
Zm00001d027944	0
Zm00001d027945	0
Zm00001d027946	0
Zm00001d027947	0
Zm00001d027948	0
Zm00001d027949	0
Zm00001d027950	0
Zm00001d027951	0
Zm00001d027954	0
Zm00001d027955	0
Zm00001d027956	0
Zm00001d027957	0
Zm00001d027958	0
Zm00001d027960	1
Zm00001d027962	0
Zm00001d027963	0
Zm00001d027965	1
Zm00001d027966	0
Zm00001d027967	0
Zm00001d027968	0
Zm00001d027969	0
Zm00001d027971	1
Zm00001d027973	0
Zm00001d027974	0
Zm00001d027975	0
Zm00001d027976	0
Zm00001d027977	0
Zm00001d027978	0
Zm00001d027979	0
Zm00001d027980	0
Zm00001d027981	0
Zm00001d027982	1
Zm00001d027983	0
Zm00001d027984	0
Zm00001d027986	0
Zm00001d027987	1
Zm00001d027988	0
Zm00001d027989	0
Zm00001d027990	0
Zm00001d027991	0
Zm00001d027992	0
Zm00001d027993	0
Zm00001d027994	0
Zm00001d027995	0
Zm00001d027996	2
Zm00001d027997	0
Zm00001d027998	0
Zm00001d027999	0
Zm00001d028000	0
Zm00001d028001	1
Zm00001d028002	0
Zm00001d028003	0
Zm00001d028004	0
Zm00001d028005	0
Zm00001d028006	1
Zm00001d028007	0
Zm00001d028008	0
Zm00001d028009	0
Zm00001d028010	0
Zm00001d028011	0
Zm00001d028012	0
Zm00001d028013	0
Zm00001d028014	0
Zm00001d028015	0
Zm00001d028016	0
Zm00001d028017	0
Zm00001d028018	0
Zm00001d028019	0
Zm00001d028020	0
Zm00001d028021	1
Zm00001d028022	0
Zm00001d028024	2
